"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
"273036","Staphylococcus aureus RF122, complete sequence",102,0.85,101.7,0.847181754084424
"418127","Staphylococcus aureus subsp. aureus Mu3, complete sequence",18,0.15,18.3,0.152818245915576
